title,summary,topics,platform,tags,organizing-org,link-to-source,link-to-live-product,main-poc,link-to-community,license,contributor-guides,documentation
Coronavirus COVID-19 (2019-nCoV) Data Repository for South Africa,"Researchers from the University of Pretoria collected and collated data from the South African Department of Health [DoH] and National Institute for Communicable Diseases [NICD] statements and alerts and built a dashboard being used by the Western Cape, the City of Cape Town, and the Gauteng Provincial Government.",Tracking,Data visualization,Cases,University of Pretoria,https://github.com/dsfsi/covid19za,https://bitly.com/covid19za-dash,vukosi.marivate@cs.up.ac.za,https://twitter.com/vukosi/status/1239184086633242630?s=20,MIT,No,Yes
Coronavirus in the U.S. - Latest Map and Case Count,An ongoing repository of data on coronavirus cases and deaths in the U.S.,Tracking,Raw Data,"Cases, Maps",The New York Times,https://github.com/nytimes/covid-19-data,https://www.nytimes.com/interactive/2020/us/coronavirus-us-cases.html,covid-data@nytimes.com,,Custom,Yes,Yes
Coronavirus Service Directory,A simple directory of services that can help residents cope if they're staying at home due to the coronavirus pandemic.,Community,Web App,"Volunteers, Resource matching",FutureGov,https://github.com/wearefuturegov/coronavirus-service-directory,https://coronavirus-help.camden.gov.uk/,hello@wearefuturegov.com,,MIT,No,Yes
COVID Act Now,"This tool is built to enable political leaders to quickly make decisions in their Coronavirus response informed by best available data and modeling.  COVID Act Now has worked to estimate the ICU facility capacity for public health offices in Michigan, Kentucky and other state and local governments.",Information,Web App,Statistics,Covid ActNow,https://github.com/covid-projections,https://covidactnow.org/,jonathan@covidactnow.org,,MIT,No,Yes
Covid Care Map,"Covid Care Map helps with mapping existing and forecasted health system capacity gaps (beds, staffing, ventilators, supplies) to care for surging numbers of COVID-19 patients (especially those requiring intensive care) with granular detail. It organizes data for other apps such as COVID Act Now, which has worked with public health authorities at the state and municipal level to project facility bed estimates.",Tracking,Web App,"Medical equipment, Statistics",Covid Care Map,https://github.com/covidcaremap/covid19-healthsystemcapacity,https://www.covidcaremap.org,dave@covidcaremap.org,,MIT,Yes,Yes
COVID Safe Paths,"COVID Safe Paths (based on Private Kit) is an open and privacy preserving system to use personal information to battle COVID. It is a collaboration between MIT, COVID Watch and CoEPi, and has been endorsed for public use by Connecticut Governor Ned Lamont.",Tracking,Mobile app,"Cases, Self-assessment",MIT,https://github.com/tripleblindmarket/covid-safe-paths,https://covidsafepaths.org,privatekit@media.mit.edu,,MIT,Yes,Yes
COVID Shield,"This repository implements a React Native client application for Apple/Google's Exposure Notification framework, informed by the guidance provided by Canada's Privacy Commissioners. For more information on how this all works, read through the COVID Shield Rationale. COVID Shield was originally developed by volunteers at Shopify and in partnership with Health Canada, the Public Health Agency of Canada, Innovation, Science and Economic Development Canada, the Canadian Centre for Cyber Security, and the Ontario Digital Service.",Tracking,,"Cases, Self-assessment",Canadian Digital Service,https://github.com/cds-snc/covid-shield-mobile,,cds-snc@tbs-sct.gc.ca,,Apache-2.0,Yes,Yes
COVID-19 Ask a Scientist Project,"Users can instantly find answers to COVID-19 questions by clicking the question mark icon at the bottom of the page, or click the ""Ask a scientist your question"" button to send unanswered questions to a network of scientists and journalists who have volunteered to respond.",Information,Web App,"FAQs, Benefits",The State of New Jersey,https://github.com/newjersey/covid19-ask-a-scientist,https://covid19.nj.gov/,covid19@fas.org ,,None,No,Yes
COVID-19 Benefits,"This product helps Canadians find existing and new individual benefits relevant to COVID-19. Users can anonymously answer a few simple questions to get a personalized list of benefits that could help them, and calculate how much financial assistance users may be eligible for and when it might be delivered.",Information,,Benefits,Canadian Digital Service,https://github.com/cds-snc/c19-benefits-node/,https://covid-benefits.alpha.canada.ca/en/start,cds-snc@tbs-sct.gc.ca,https://twitter.com/CDS_GC,MIT,No,Yes
COVID-19 Emergency Assistance Programs,"This is a beta version Eligibility Wizard that focuses on newly announced State Emergency Assistance programs and the SBA disaster loan program. It is currently used by the State of New Jersey, and will be updated regularly as new federal, state, local, and philanthropic programs become available. ",Assistance,Forms,"Benefits, Self-assessment",US Digital Response,https://github.com/usdigitalresponse/small-business-programs,https://assistance.business.nj.gov/,,,CC0,No,No
COVID-19 Employee Screening Tool,"A tool for screening employees when entering and leaving a location. Some of the features include: a single record includes both the arrival and departure information for an employee or visitor, management of an employee list which can help speed up the screening process, employee list can be imported from an Excel file, administrators can add notes to a screening entry (e.g. to indicate there was follow-up on flagged entries), and screening entries can be exported to Excel for review.",Health,,Self-assessment,Code for Canada,https://github.com/code-for-canada/covid19-employee-screening-tool,,,,Apache-2.0,No,Yes
COVID-19 Hospital Impact Model for Epidemics,The CHIME (COVID-19 Hospital Impact Model for Epidemics) Application is designed to assist hospitals and public health officials with understanding hospital capacity needs as they relate to the COVID pandemic. CHIME data is being used by the District of Columbia for outbreak projections.,Information,Predictive Models,"Cases, Statistics, Medical equipment",Penn Medicine,https://github.com/CodeForPhilly/chime,https://penn-chime.phl.io/,,https://codeforphilly.org/chat?channel=covid19-chime-penn,MIT,Yes,Yes
COVID-19 Incarceration Model,An interactive model to allow criminal justice leaders and their staff to project the likely impact of COVID-19 within facilities.,Research,,Statistics,Recidiviz,https://docs.google.com/spreadsheets/d/e/2PACX-1vQ60fTTBlezKwvppNT8_wy8r4zWnx8-u6pkrwwloZ1hQwwFbobEZz7O1mOKSa2ph7YOlvMMT9oWDzAc/pub#,https://www.recidiviz.org/covid,covid@recidiviz.org,,GPL-3.0,No,No
COVID-19 Open Research Dataset,"At the Request of the White House Office of Science and Technology Policy, researchers with the Allen Institute for AI, Chan Zuckerberg Initiative, Georgetown University’s Center for Security and Emerging Technology, Microsoft, and the National Library of Medicine created a machine-readable Coronavirus literature collection containing more than 29,000 articles. The dataset, which is now publicly available on SemanticsScholar.org, will support research into coronavirus and the COVID-19 pandemic.",Information,Raw Data,"Cases, Statistics",Allen Institute for AI,https://www.semanticscholar.org/cord19,,kylel@allenai.org (Kyle Lo) and lucyw@allenai.org (Lucy Lu Wang),,Custom,No,No
Covid-19 remote monitoring platform,"A patient self-monitoring tool to help healthcare systems monitor COVID patients remotely using text-based follow up. Practitioners can monitor patients from their homes using automated health surveys, reducing strain on healthcare facilities and overall exposure. It is currently deployed at 29 hospitals in Grant Est region of France.",Health,Mobile App,"Self-assessment, Monitoring, Symptoms",Lifen Labs,https://github.com/lifen-labs/covid,https://blog.lifen.fr/posts/covid-19-une-application-pour-diagnostiquer-les-patients-depuis-leur-domicile,covid19@lifen.fr,,GNU Affero General Public License v3.0,,
COVID-19 Scenarios,This tool explores the dynamics of COVID-19 cases and the associated strain on the healthcare system in the near future.  It is currently being used by Swiss authorities.,Tracking,Predictive Models,"Cases, Modeling, Medical equipment",University of Basel,https://github.com/neherlab/covid19_scenarios,https://covid19-scenarios.org/,,https://spectrum.chat/covid19-scenarios,MIT,Yes,Yes
COVID-19 Self Assessment Tool,The questionnaire takes the public through a series of questions to inform those who are concerned they may have contracted COVID-19. It's based on a modified version of the Alberta Health Services tool to which applied Ontario's design system styling and made a number of functional changes.,Health,Web App,Self-assessment,Ontario Government,https://github.com/ongov/covid-19-self-assessment,https://covid-19.ontario.ca/self-assessment/#q0,,,Apache License 2.0,,No
COVID-19 Surveillance Digital Data Package,"DHIS2 has released a digital data package to accelerate case detection, situation reporting, active surveillance and response for COVID-19. The package is inspired by the Ministry of Health Sri Lanka’s pioneering design of DHIS2 tracker for COVID-19 case detection and draws on years of collaboration with the World Health Organisation (WHO) to develop information system standards for case-based disease surveillance.",Tracking,,"Cases, Demographics, Maps, Statistics",DHIS2,https://www.dhis2.org/covid-19,https://covid19.dhis2.org/demo/dhis-web-commons/security/login.action,covid@dhis2.org,https://community.dhis2.org/,BSD,No,Yes
Covid19 Projections,"COVID-19 prediction model that uses AI and classic infections disease modeling to simulate the outbreak in each country, state, and region. It is the only model shared by the CDC that is not publicly funded, and factors in regional re-openings in their projections.",Information,Algorithm,Statistics,Youyang Gu,https://github.com/youyanggu/covid19_projections,https://covid19-projections.com/,@youyanggu,,MIT,No,Yes
Covid19Canada,"Researchers at the University of Toronto, responding to the critical need for timely, accurate, and accessible data on COVID-19 cases, developed an individual-level dataset of Canadian COVID-19 cases. These figures, which include mortalities, recoveries, and testing, are collected from news reports and government health authorities and then manually entered by the research team.",Information,,Cases,COVID-19 Canada Open Data Working Group,https://github.com/ishaberry/Covid19Canada,https://art-bd.shinyapps.io/covid19canada/,isha.berry@mail.utoronto.ca,,CC-4.0,No,No
Dati COVID-19 Italia,Publicly available data on the spread of COVID-19 within Italy.,Tracking,Raw Data,"Cases, Maps, Statistics",Italian Department of Civil Protection,https://github.com/pcm-dpc/COVID-19,http://opendatadpc.maps.arcgis.com/apps/opsdashboard/index.html#/b0c68bce2cce478eaac82fe38d4138b1,,,CC-BY-4.0,,Yes
Digital Assister for Michigan,A multi-benefit assistance application built for the State of Michigan.,Assistance,Web App,"Benefits, Self-assessment",Code for America,https://github.com/codeforamerica/michigan-benefits,https://demo.michiganbenefits.org/,,,MIT,Yes,Yes
Early Warning System Health Messaging,"Sends health messages to registered users, and is sent via open source telephony software.  It is being used by the Cambodian National Centre for Disaster Management to send coronavirus related health voice messages authorised by the Ministry of Health and designed by the local offices of the WHO and UNICEF.",Information,,Notifications,People in Need,https://github.com/somleng/somleng-scfm.,http://ews1294.info/en/home/,complaints@ews1294.info,https://www.facebook.com/ews1294,MIT,No,Yes
Enhanced Traveller Screening,"This is a digital service built in partnership with the Ministry of Health and Service B.C. which supports British Columbians returning from out-of-country to self isolate. Travellers complete a self isolation plan which may be reviewed with a provincial official to determine whether they require additional support in order to self isolate. In addition, Service BC is able to followup with travellers to ensure the success of their self isolation plan.",Information,,Self-assessment,"Ministry of Health and Services, Government of British Columbia",https://github.com/bcgov/enhanced-travel-screening,,,,Apache-2.0,Yes,Yes
eRouška,"A contact-tracing app that uses Bluetooth to record encouters of other app users in the area, and after a user tests positive for COVID-19, health authorities can ask the sick individual to submit their data to create a map of potential secondary infections.  The system architecture was inspired by Sinagpore's OpenTrace protocol and development has been approved by the Czech Ministry of Healthcare.",Tracking,Mobile App,Cases,COVID19CZ,https://github.com/covid19cz/erouska-android,https://erouska.cz/,david.vavra@erouska.cz,,MIT,Yes,Yes
FindTheMasks,Rapid response technology to connect personal protective equipment (PPE) donations with healthcare workers in need.,Community,Web App,"Volunteers, Donations, Medical equipment",FindTheMasks,https://github.com/findthemasks/findthemasks,https://findthemasks.com/,contact@findthemasks.com,https://join.slack.com/t/findthemasks/shared_invite/zt-czdjjznp-p8~9oKuXtV_gn7wEBZGGoA,None,Yes,Yes
GOV.UK Notify,"Send emails, text messages and letters to users. It's been adopted by the US Department of Veterans Affairs and the Canadian Digital Service.",Information,"Mobile App, Web App",Notifications,The United Kingdom Government Digital Services,https://github.com/alphagov?language=&page=1&q=notify&type=,https://www.notifications.service.gov.uk/,,,MIT,No,Yes
Hamagen React Native,Israel's Ministry of Health's COVID-19 Exposure Prevention App.,Health,Web App,FAQs,Israel's Ministry of Health,https://github.com/MohGovIL/hamagen-react-native,,,,MIT,Yes,No
Healthcare Rollcall,"This system will provide methods for healthcare providers to check-in with public health agencies during disasters, and update their information during non-emergency periods. During an emergency this system will track providers responses to a questionnaire. This questionnaire can be specific to a single disaster, or can be more general.",Information,"Web App, Mobile App","Medical equipment, Resource matching",Code for Baltimore,https://github.com/CodeForBaltimore/Healthcare-Rollcall,https://healthcarerollcall.org/login,,http://www.codeforbaltimore.org,Apache 2.0,No,Yes
Healthsites.io,Building an open data commons of health facility data with OpenStreetMap. It has been used by governments to commuicate testing locations for individuals infected with COVID-19.,Information,Web App,"Cases, Statistics",Healthsites.io,https://github.com/healthsites/healthsites,https://healthsites.io/,mark@healthsites.io,,FreeBSD,No,Yes
Immuni,"Immuni is the Italian Government’s exposure notification solution, realized by the Special Commissioner for the COVID-19 emergency (Presidency of the Council of Ministers), in collaboration with the Ministry of Health and the Ministry for Technological Innovation and Digitalization. It only uses public infrastructures located within the national borders. It is exclusively managed by the public company Sogei S.p.A. The source code has been developed for the Presidency of the Council of Ministers by Bending Spoons S.p.A., and it is released under a GNU Affero General Public License version 3.",Tracking,,Cases,Presidenza del Consiglio dei Ministri,https://github.com/immuni-app,https://www.immuni.italia.it/,o.cardia@me.com,,AGPL-3.0,Yes,Yes
Koroonakaart,"A visualization of coronavirus-related information in Estonia. Through a dashboard that displays confirmed cases, hospitalizations, deaths, hospital discharges, and tests administered, visitors can see how the COVID-19 pandemic is affecting Estonia. The system uses information from the government’s TEHIK (Health and Welfare Information Systems Centre) and is updated daily.",Information,,Cases,Open Knowledge Estonia,https://github.com/okestonia/koroonakaart,https://www.koroonakaart.ee,Keegan McBride (keegan.mcbride@taltech.ee) and Maarja-Leena Saar (maarjaleena@okee.ee),https://www.facebook.com/okestonia/,,No,Yes
L'algorithme D'orientation COVID19,"A referral tool to support residents to determine whether they are experiencing symptoms of COVID-19. The tool asks users to respond to a series of questions about their symptoms and provides relevant information and recommendations. The algorithm underlying the tool was developed by the Ministry in collaboration with CovidTélé, a consortium of doctors and scientists led by the APHP (Assistance Publique – Hôpitaux de Paris) and the Pasteur Institute.",Health,,Self-assessment,The French Ministry of Social Affairs and Health,https://github.com/delegation-numerique-en-sante,https://delegation-numerique-en-sante.github.io/covid19-algorithme-orientation/,mobilisation-covid@sante.gouv.fr,,EPL-2.0,No,Yes
Maladie Coronavirus,"The Pasteur Institute, Greater Paris University Hospitals, and the chatbot start-up Clevy created a questionnaire that individuals can use to assess their risk of COVID-19 infection. The form has 23 questions on possible symptoms, medical history, age, and other physical attributes. If a user is deemed a high risk from their responses, they are redirected to emergency services while a suspect case is redirected to telemedicine services.",Information,,Self-assessment,The Pasteur Institute,https://github.com/CSML-by-Clevy/covidbot-autodiagnostic,https://www.covidbot.fr/,,,MIT,No,Yes
nCoV2019 dataset ,"A location for summaries and analyses of data related to n-CoV 2019. Referenced in a White House press briefing as the ""Chris Murray Model.""",Tracking,Raw Data,"Cases, Maps, Demographics","Institute for Health Metrics and Evaluation, University of Washington",https://github.com/beoutbreakprepared/nCoV2019,https://covid19.healthdata.org/united-states-of-america,pigottdm@uw.edu,None,MIT,No,Yes
Neighbor Express,"The City of Concord, California worked with USDR to create a volunteer-matching system that connects community volunteers to vulnerable populations for groceries, deliveries, and check-ins. It has already been rapidly adapted for two other cities. It has since been scaled to Walnut Cree, California and Paterson, New Jersey.",Community,,Resource matching,"The City of Concord, CA",https://github.com/usdigitalresponse/neighbor-express,https://neighborexpress.org,neighborexpress@gmail.com,,MIT,No,Yes
New Jersey Career Network,"An initiative developed in partnership with the New Jersey Department of Labor and Workforce Development and the John J. Heldrich Center for Workforce Development at Rutgers University to create 21st century in-person services and digital tools to enable job seekers to identify, prepare for, and obtain jobs. It is a key component of New Jersey's efforts to provide job support for residents affected by coronavirus-related layoffs.",Assistance,,Benefits,State of New Jersey Office of Innovation,https://github.com/newjersey/career-network,https://careers.gardenstate.tech,team@innovation.nj.gov,,MIT,No,Yes
NextStrain,"Nextstrain is an open-source project to harness the scientific and public health potential of pathogen genome data, made available through GISAID. Their goal is to aid epidemiological understanding and improve outbreak response. This build includes data for coronavirus.",Research,,"Laboratories, Sequencing",NextStrain,https://github.com/nextstrain/ncov,https://nextstrain.org/ncov,hello@nextstrain.org,@nextstrain,MIT,No,Yes
NHS COVID-19 App,"Users can securely communicate potential COVID-19 symptoms to a centralized server via the app, which will send an alert anonymously to other app users who have had signficant contact with the reporter so they can act accordingly.  It can also provide information about testing and provide official guidance on reducing the spread of the virus.",Tracking,Mobile App,Cases,NHSX,https://github.com/nhsx/COVID-19-app-Android-BETA,https://covid19.nhs.uk/,opensource@nhsx.nhs.uk,,MIT,No,Yes
Nova Scotia's Self-Assessment Tool,"A self-assesment tool to determine if residents of Nova Scotia, Canada should call 811 about potential COVID-19 symptoms.",Health,Web App,"Screening, Self-assessment",Nova Scotia Digital Service,https://github.com/Nova-Scotia-Digital-Service/when-to-call-811,https://when-to-call-about-covid19.novascotia.ca/en,,,MIT,No,Yes
Open Data Kit,"Open Data Kit tools help millions of people around the world collect, manage, and use their data. It is currently being used by public health authorities in South Sudan, the Philippines, Keyna, and Somalia to track the COVID-19 outbreak and communicate with potential and confirmed COVID patients.",Information,Data Management,"Cases, Medical equipment",Nafundi,https://github.com/opendatakit,https://getodk.org/,Yaw Anokwa (yanokwa@nafundi.com),https://forum.opendatakit.org/c/community/12,Apache-2.0,Yes,Yes
Open Opportunities platform,"A United States government program that is creating a network of federal employees working together to build a more effective, efficient, responsive government by sharing skills and collaborating on projects that support the mission of an agency or the government as a whole.",Community,Web App,"Collaboration, Resource matching, Crowdsourcing",The United States General Services Administration,https://github.com/openopps/openopps-platform,http://openopps.org/,,https://groups.google.com/forum/#!forum/openopps-platform,CC0,Yes,Yes
OpenHIM,"The OpenHIM can be used to support and strengthen COVID-19 responses that require data exchange between multiple systems and those facing challenges with lack of quality data, access to information, and poor utilisation of data, through an extensible framework that can be customized to support a wide range of data exchange and interoperability needs. The Western Cape Provincial Health Data Centre, the standard system for reporting COVID-19 cases in the South African province, utilizes OpenHIM.",Tracking,,Cases,Jembi Health Systems,https://github.com/jembi/openhim-core-js,http://openhim.org/,daniel.futerman@jembi.org,openhim-implementers@googlegroups.com,MPL-2.0,Yes,Yes
OpenLMIS,"Open source software designed specifically to manage public health supply chains in logistics management information systems. Manages inventory of medical supplies including diagnostics, cold chain equipment, PPE. Dashboard of visual reports aids national decisionmakers in resource allocation. A specific module for end to end traceability and management of COVID-19 commodities was released in April 2020.",Health,Data Management,"Cases, Statistics",OpenLMIS,https://github.com/OpenLMIS/openlmis-ref-distro,https://openlmis.org/,info@openlmis.org,,AGPL-3.0,Yes,Yes
OpenSafely,"OpenSAFELY is a new secure analytics platform for electronic health records in the NHS, created to deliver urgent results during the global COVID-19 emergency. It is now successfully delivering analyses across more than 24 million patients’ full pseudonymised primary care NHS records, with more to follow shortly.",Research,,"Cases, Statistics","National Health Service, United Kingdom",https://github.com/opensafely,https://opensafely.org,team@opensafely.org,@opensafely,GPL-3.0,No,Yes
OpenTrace,"Using Bluetooth, OpenTrace identifies other nearby phones with the app installed. It then tracks when you are in close proximity with these other persons, including timestamps. It is the generic codebase on which the Singaporean TraceTogether contact tracing app is built.  OpenTrace relies on Blue Trace, a privacy-preserving protocol for community-driven contact tracing across borders.",Tracking,Mobile App,"Crowdsourcing, Screening, Self-assessment",Government Technology Agency of Singapore,https://github.com/opentrace-community,https://www.tracetogether.gov.sg/,partnerships@tracetogether.gov.sg,,GPL-3.0,No,Yes
Pandemic EBT,Rails app to support online Pandemic EBT (P-EBT) applications in California. P-EBT benefits help families in California buy food when school is closed.,Assistance,,Benefits,Code for America,https://github.com/codeforamerica/pandemic-ebt,https://ca.p-ebt.org/en/,,,BSD-3-Clause,No,No
Philly Food Finder,An intuitive map-based interface that visitors use to search for food resources by zip code and other optional criteria. It also includes a suite of administrative functions which allow the Philadelphia Food Policy Advisory Council (FPAC) to easily add and update food resources and other content on the website without writing any code. Managers of food resources within Philadelphia can submit their food resource’s information for inclusion in the website’s database.,Assistance,Web App,Benefits,Hack4Impact (University of Pennsylvania),http://www.phillyfoodfinder.org,http://www.phillyfoodfinder.org,admin@hack4impact.org,https://github.com/hack4impact/,MIT,No,Yes
Pikobar West Java,"An app and web-tool that allows residents of West Java to access the latest COVID-19 data, submit requests for help, access emergency numbers, and clarify misinformation.",Information,,"FAQs, Notifications",Jabar Digital Service,https://github.com/jabardigitalservice/pikobar-jabarprov-go-id,https://pikobar.jabarprov.go.id/,digital.service@jabarprov.go.id,,MIT,Yes,Yes
PrivateTracer,A bluetooth-based contact tracing app being developed by the the Municipality of the Hague and other private and nonprofit partners. It abides by the DP-3T privacy protocol specifications and processes location and bluetooth data locally on the user's smartphone.,Tracking,Mobile App,Cases,PrivateTracer Foundation,https://gitlab.com/PrivateTracer,,contribute@privatetracer.org,,MIT,Yes,Yes
Project PAPUA,The Pilot Application for Pandemic Unemployment Assistance (PAPUA) project is a prototype service providing a unified unemployment intake form and delivers validated unemployment claims to various State backends. This project is a volunteer-led effort and part of the US Digital Response network. It was been adopted by the State of New Jersey.,Information,,Benefits,US Digital Response,https://github.com/usdigitalresponse/project-papua,https://papua.usdigitalresponse.org/,,,Apache-2.0,Yes,Yes
Rakning C-19,"An app that can be downloaded voluntarily and facilitates the contact tracing process amidst the ongoing Covid-19 pandemic in Iceland. With the user's consent the app keeps their location data. In case the contact tracing team of the Department of Civil Protection and Emergency Management needs to track someone's movements, they will be asked to upload their location data.",Tracking,,"Cases, Screening, Self-assessment",Icelandic Directorate of Health and the Department of Civil Protection and Emergency Management.,https://github.com/aranja/rakning-c19-app,https://covid.is/app,,,MIT,No,Yes
Santé publique France COVID-19 Dashboard,"Santé publique France, the French public health agency responsible for monitoring health security and implementing appropriate responses, has compiled official information on the COVID-19 outbreak from regional health agencies, prefectures, and other authorities and represented this information graphically in a dashboard.",Information,,Cases,,https://github.com/etalab/covid19-dashboard,https://dashboard.covid19.data.gouv.fr/vue-d-ensemble,,,MIT,Yes,Yes
Santé publique France Open Datasets,"The French Public Health Agency (Santé publique France) is making COVID-19-related information available through the country’s open data portal. The information includes both daily and weekly reports featuring age- and gender-disaggregated data on incidence of the disease, hospitalizations, and emergency visits. ",Information,,Cases,Santé publique France,https://www.data.gouv.fr/en/datasets/donnees-des-urgences-hospitalieres-et-de-sos-medecins-relatives-a-lepidemie-de-covid-19/,,support@data.gouv.fr,,Open License v2.0,No,No
SARS-CoV-2 Cases communicated by Swiss Cantons and Principality of Liechtenstein,"A common official OGD dataset of SARS-CoV-2 cases for the Swiss Authorities. SARS-CoV-2 case numbers are provided in machine-readable form (CSV) as OGD resources (Open Government Data), that have been published by official sources (Cantons and FL) online. Sources are specifed with the respective URL(s).",Tracking,Raw Data,"Cases, Statistics",The Canton of Zurich,https://github.com/openZH/covid_19,https://www.web.statistik.zh.ch/covid19_dashboard/index.html#/,datashop@statistik.zh.ch ,https://twitter.com/OpenDataZH,CC-BY-4.0,No,Yes
SARS-CoV-2 Sequencing Resources,"This document repository is meant to serve as the start of a crowd-sourced collection of information, documentation, protocols and other resources for public health laboratories intending to sequence SARS-CoV-2 coronavirus samples in the coming weeks.",Research,"Predictive Models, Raw Data","Sequencing, Laboratories",The Center for Disease Control,https://github.com/CDCgov/SARS-CoV-2_Sequencing,,https://www.twitter.com/dmaccannell,,CC0 + Apache-2.0,Yes,Yes
StopCovid,"A digital contact tracing app supported by the French government. Created by the French state research agency INRIA, with the support of French companies such as Orange, Capgemini and Dassault Systèms, the app follows the ROBERT privacy framework which allows for proximity data to be collected and stored in a central database, such as by a Ministry of Health.",Tracking,,Cases,INRIA,https://gitlab.inria.fr/stopcovid19,,stopcovid@lunabee.com,,MPL-2.0,Yes,Yes
Surveillance Outbreak Response Management and Analysis System (SORMAS),"An early warning and management system to fight the spread of infectious diseases. HZI modified the existing surveillance software SORMAS, so that a follow-up management for people infected by the coronavirus and those who had contact with infected people is possible. SORMAS integrates with open source health-monitoring system DHIS2.",Tracking,"Web App, Mobile App","Cases, Demographics ",Helmholtz Centre for Infection Research,https://github.com/hzi-braunschweig/SORMAS-Project,https://sormas.helmholtz-hzi.de,sormas@helmholtz-hzi.de,,GPL-3.0,Yes,Yes
